Item Name,Categories
Dosa,"['South Indian', 'Breakfast', 'Vegan', 'Fermented', 'Rice Flour', 'Lentils', 'Carbohydrates', 'Protein']"
Butter Chicken,"['North Indian', 'Punjabi', 'Non-Veg', 'Chicken', 'Spicy', 'Dinner', 'Chicken', 'Butter', 'Cream', 'Protein', 'Fat']"
Pani Puri,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Semolina', 'Potatoes', 'Carbohydrates', 'Vitamin C']"
Pulao,"['Indian', 'Rice', 'Fragrant', 'Vegetarian', 'Lunch', 'Basmati Rice', 'Spices', 'Carbohydrates', 'Fiber']"
Vada Pav,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Potatoes', 'Pav Bread', 'Carbohydrates', 'Protein']"
Bhel Puri,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Puffed Rice', 'Chutneys', 'Carbohydrates', 'Fats']"
Paneer Tikka,"['North Indian', 'Vegetarian', 'Tandoori', 'Spicy', 'Dinner', 'Paneer', 'Bell Peppers', 'Protein', 'Calcium']"
Palak Paneer,"['North Indian', 'Vegetarian', 'Spinach', 'Creamy', 'Dinner', 'Paneer', 'Spinach', 'Protein', 'Iron']"
Kadhi Pakora,"['North Indian', 'Vegetarian', 'Yogurt', 'Gram Flour', 'Lunch', 'Yogurt', 'Gram Flour', 'Protein', 'Fiber']"
Rasgulla,"['Indian', 'Dessert', 'Sweet', 'Syrup', 'Dessert', 'Cottage Cheese', 'Sugar Syrup', 'Carbohydrates', 'Calcium']"
Aloo Paratha,"['North Indian', 'Breakfast', 'Vegetarian', 'Spicy', 'Breakfast', 'Potatoes', 'Wheat Flour', 'Carbohydrates', 'Fiber']"
Matar Paneer,"['North Indian', 'Vegetarian', 'Peas', 'Creamy', 'Dinner', 'Paneer', 'Green Peas', 'Protein', 'Vitamin C']"
Chole Bhature,"['North Indian', 'Breakfast', 'Vegetarian', 'Spicy', 'Breakfast', 'Chickpeas', 'Wheat Flour', 'Carbohydrates', 'Protein']"
Pav Bhaji,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Mixed Vegetables', 'Pav Bread', 'Carbohydrates', 'Fiber']"
Samosa Chaat,"['Indian', 'Street Food', 'Vegetarian', 'Spicy', 'Snack', 'Samosa', 'Chickpeas', 'Carbohydrates', 'Protein']"
Mutton Biryani,"['Indian', 'Rice', 'Spicy', 'Mutton', 'Aromatic', 'Dinner', 'Basmati Rice', 'Mutton', 'Protein', 'Spices']"
Mysore Masala Dosa,"['South Indian', 'Breakfast', 'Vegan', 'Spicy', 'Breakfast', 'Rice Flour', 'Lentils', 'Carbohydrates', 'Protein']"
